dteday,casual,registered,workingday
2011-06-14,727,4164,yes
2011-06-15,769,4411,yes
2011-06-16,545,3222,yes
2011-06-17,863,3981,yes
2011-06-18,1807,3312,no
2011-06-19,1639,3105,no
2011-06-20,699,3311,yes
2011-06-21,774,4061,yes
2011-06-22,661,3846,yes
2011-06-23,746,4044,yes
2011-06-24,969,4022,yes
2011-06-25,1782,3420,no
2011-06-26,1920,3385,no
2011-06-27,854,3854,yes
2011-06-28,732,3916,yes
2011-06-29,848,4377,yes
2011-06-30,1027,4488,yes
2011-07-01,1246,4116,yes
2011-07-02,2204,2915,no
2011-07-03,2282,2367,no
2011-07-04,3065,2978,no
2011-07-05,1031,3634,yes
2011-07-06,784,3845,yes
2011-07-07,754,3838,yes
2011-07-08,692,3348,yes
2011-07-09,1988,3348,no
2011-07-10,1743,3138,no
2011-07-11,723,3363,yes
2011-07-12,662,3596,yes
2011-07-13,748,3594,yes
2011-07-14,888,4196,yes
2011-07-15,1318,4220,yes
2011-07-16,2418,3505,no
2011-07-17,2006,3296,no
2011-07-18,841,3617,yes
2011-07-19,752,3789,yes
2011-07-20,644,3688,yes
2011-07-21,632,3152,yes
2011-07-22,562,2825,yes
2011-07-23,987,2298,no
2011-07-24,1050,2556,no
2011-07-25,568,3272,yes
2011-07-26,750,3840,yes
2011-07-27,755,3901,yes
2011-07-28,606,3784,yes
2011-07-29,670,3176,yes
2011-07-30,1559,2916,no
2011-07-31,1524,2778,no
2011-08-01,729,3537,yes
2011-08-02,801,4044,yes
2011-08-03,467,3107,yes
2011-08-04,799,3777,yes
2011-08-05,1023,3843,yes
2011-08-06,1521,2773,no
2011-08-07,1298,2487,no
2011-08-08,846,3480,yes
2011-08-09,907,3695,yes
2011-08-10,884,3896,yes
2011-08-11,812,3980,yes
2011-08-12,1051,3854,yes
2011-08-13,1504,2646,no
2011-08-14,1338,2482,no
2011-08-15,775,3563,yes
2011-08-16,721,4004,yes
2011-08-17,668,4026,yes
2011-08-18,639,3166,yes
2011-08-19,797,3356,yes
2011-08-20,1914,3277,no
2011-08-21,1249,2624,no
2011-08-22,833,3925,yes
2011-08-23,1281,4614,yes
2011-08-24,949,4181,yes
2011-08-25,435,3107,yes
2011-08-26,768,3893,yes
2011-08-27,226,889,no
2011-08-28,1415,2919,no
2011-08-29,729,3905,yes
2011-08-30,775,4429,yes
2011-08-31,688,4370,yes
2011-09-01,783,4332,yes
2011-09-02,875,3852,yes
2011-09-03,1935,2549,no
2011-09-04,2521,2419,no
2011-09-05,1236,2115,no
2011-09-06,204,2506,yes
2011-09-07,118,1878,yes
2011-09-08,153,1689,yes
2011-09-09,417,3127,yes
2011-09-10,1750,3595,no
2011-09-11,1633,3413,no
2011-09-12,690,4023,yes
2011-09-13,701,4062,yes
2011-09-14,647,4138,yes
2011-09-15,428,3231,yes
2011-09-16,742,4018,yes
2011-09-17,1434,3077,no
2011-09-18,1353,2921,no
2011-09-19,691,3848,yes
2011-09-20,438,3203,yes
2011-09-21,539,3813,yes
2011-09-22,555,4240,yes
2011-09-23,258,2137,yes
2011-09-24,1776,3647,no
2011-09-25,1544,3466,no
2011-09-26,684,3946,yes
2011-09-27,477,3643,yes
2011-09-28,480,3427,yes
2011-09-29,653,4186,yes
2011-09-30,830,4372,yes
2011-10-01,480,1949,no
2011-10-02,616,2302,no
2011-10-03,330,3240,yes
2011-10-04,486,3970,yes
2011-10-05,559,4267,yes
2011-10-06,639,4126,yes
2011-10-07,949,4036,yes
2011-10-08,2235,3174,no
2011-10-09,2397,3114,no
2011-10-10,1514,3603,no
2011-10-11,667,3896,yes
2011-10-12,217,2199,yes
2011-10-13,290,2623,yes
2011-10-14,529,3115,yes
2011-10-15,1899,3318,no
2011-10-16,1748,3293,no
2011-10-17,713,3857,yes
2011-10-18,637,4111,yes
2011-10-19,254,2170,yes
2011-10-20,471,3724,yes
2011-10-21,676,3628,yes
2011-10-22,1499,2809,no
2011-10-23,1619,2762,no
2011-10-24,699,3488,yes
2011-10-25,695,3992,yes
2011-10-26,404,3490,yes
2011-10-27,240,2419,yes
2011-10-28,456,3291,yes
2011-10-29,57,570,no
2011-10-30,885,2446,no
2011-10-31,362,3307,yes
2011-11-01,410,3658,yes
2011-11-02,370,3816,yes
2011-11-03,318,3656,yes
2011-11-04,470,3576,yes
2011-11-05,1156,2770,no
2011-11-06,952,2697,no
2011-11-07,373,3662,yes
2011-11-08,376,3829,yes
2011-11-09,305,3804,yes
2011-11-10,190,2743,yes
2011-11-11,440,2928,no
2011-11-12,1275,2792,no
2011-11-13,1004,2713,no
2011-11-14,595,3891,yes
2011-11-15,449,3746,yes
2011-11-16,145,1672,yes
2011-11-17,139,2914,yes
2011-11-18,245,3147,yes
2011-11-19,943,2720,no
2011-11-20,787,2733,no
2011-11-21,220,2545,yes
2011-11-22,69,1538,yes
2011-11-23,112,2454,yes
2011-11-24,560,935,no
2011-11-25,1095,1697,yes
2011-11-26,1249,1819,no
2011-11-27,810,2261,no
2011-11-28,253,3614,yes
2011-11-29,96,2818,yes
2011-11-30,188,3425,yes
2011-12-01,182,3545,yes
2011-12-02,268,3672,yes
2011-12-03,706,2908,no
2011-12-04,634,2851,no
2011-12-05,233,3578,yes
2011-12-06,126,2468,yes
2011-12-07,50,655,yes
2011-12-08,150,3172,yes
2011-12-09,261,3359,yes
2011-12-10,502,2688,no
2011-12-11,377,2366,no
2011-12-12,143,3167,yes
2011-12-13,155,3368,yes
2011-12-14,178,3562,yes
2011-12-15,181,3528,yes
2011-12-16,178,3399,yes
2011-12-17,275,2464,no
2011-12-18,220,2211,no
2011-12-19,260,3143,yes
2011-12-20,216,3534,yes
2011-12-21,107,2553,yes
2011-12-22,227,2841,yes
2011-12-23,163,2046,yes
2011-12-24,155,856,no
2011-12-25,303,451,no
2011-12-26,430,887,no
2011-12-27,103,1059,yes
2011-12-28,255,2047,yes
2011-12-29,254,2169,yes
2011-12-30,491,2508,yes
2011-12-31,665,1820,no
2012-01-01,686,1608,no
2012-01-02,244,1707,no
2012-01-03,89,2147,yes
2012-01-04,95,2273,yes
2012-01-05,140,3132,yes
2012-01-06,307,3791,yes
2012-01-07,1070,3451,no
2012-01-08,599,2826,no
2012-01-09,106,2270,yes
2012-01-10,173,3425,yes
2012-01-11,92,2085,yes
2012-01-12,269,3828,yes
2012-01-13,174,3040,yes
2012-01-14,333,2160,no
2012-01-15,284,2027,no
2012-01-16,217,2081,no
2012-01-17,127,2808,yes
2012-01-18,109,3267,yes
2012-01-19,130,3162,yes
2012-01-20,115,3048,yes
2012-01-21,67,1234,no
2012-01-22,196,1781,no
2012-01-23,145,2287,yes
2012-01-24,439,3900,yes
2012-01-25,467,3803,yes
2012-01-26,244,3831,yes
2012-01-27,269,3187,yes
2012-01-28,775,3248,no
2012-01-29,558,2685,no
2012-01-30,126,3498,yes
2012-01-31,324,4185,yes
2012-02-01,304,4275,yes
2012-02-02,190,3571,yes
2012-02-03,310,3841,yes
2012-02-04,384,2448,no
2012-02-05,318,2629,no
2012-02-06,206,3578,yes
2012-02-07,199,4176,yes
2012-02-08,109,2693,yes
2012-02-09,163,3667,yes
2012-02-10,227,3604,yes
2012-02-11,192,1977,no
2012-02-12,73,1456,no
2012-02-13,94,3328,yes
2012-02-14,135,3787,yes
2012-02-15,141,4028,yes
2012-02-16,74,2931,yes
2012-02-17,349,3805,yes
2012-02-18,1435,2883,no
2012-02-19,618,2071,no
2012-02-20,502,2627,no
2012-02-21,163,3614,yes
2012-02-22,394,4379,yes
2012-02-23,516,4546,yes
2012-02-24,246,3241,yes
2012-02-25,317,2415,no
2012-02-26,515,2874,no
2012-02-27,253,4069,yes
2012-02-28,229,4134,yes
2012-02-29,65,1769,yes
2012-03-01,325,4665,yes
2012-03-02,246,2948,yes
2012-03-03,956,3110,no
2012-03-04,710,2713,no
2012-03-05,203,3130,yes
2012-03-06,221,3735,yes
2012-03-07,432,4484,yes
2012-03-08,486,4896,yes
2012-03-09,447,4122,yes
2012-03-10,968,3150,no
2012-03-11,1658,3253,no
2012-03-12,838,4460,yes
2012-03-13,762,5085,yes
2012-03-14,997,5315,yes
2012-03-15,1005,5187,yes
2012-03-16,548,3830,yes
2012-03-17,3155,4681,no
2012-03-18,2207,3685,no
2012-03-19,982,5171,yes
2012-03-20,1051,5042,yes
2012-03-21,1122,5108,yes
2012-03-22,1334,5537,yes
2012-03-23,2469,5893,yes
2012-03-24,1033,2339,no
2012-03-25,1532,3464,no
2012-03-26,795,4763,yes
2012-03-27,531,4571,yes
2012-03-28,674,5024,yes
2012-03-29,834,5299,yes
2012-03-30,796,4663,yes
2012-03-31,2301,3934,no
2012-04-01,2347,3694,no
2012-04-02,1208,4728,yes
2012-04-03,1348,5424,yes
2012-04-04,1058,5378,yes
2012-04-05,1192,5265,yes
2012-04-06,1807,4653,yes
2012-04-07,3252,3605,no
2012-04-08,2230,2939,no
2012-04-09,905,4680,yes
2012-04-10,819,5099,yes
2012-04-11,482,4380,yes
2012-04-12,663,4746,yes
2012-04-13,1252,5146,yes
2012-04-14,2795,4665,no
2012-04-15,2846,4286,no
2012-04-16,1198,5172,no
2012-04-17,989,5702,yes
2012-04-18,347,4020,yes
2012-04-19,846,5719,yes
2012-04-20,1340,5950,yes
2012-04-21,2541,4083,no
2012-04-22,120,907,no
2012-04-23,195,3019,yes
2012-04-24,518,5115,yes
2012-04-25,655,5541,yes
2012-04-26,475,4551,yes
2012-04-27,1014,5219,yes
2012-04-28,1120,3100,no
2012-04-29,2229,4075,no
2012-04-30,665,4907,yes
2012-05-01,653,5087,yes
2012-05-02,667,5502,yes
2012-05-03,764,5657,yes
2012-05-04,1069,5227,yes
2012-05-05,2496,4387,no
2012-05-06,2135,4224,no
2012-05-07,1008,5265,yes
2012-05-08,738,4990,yes
2012-05-09,620,4097,yes
2012-05-10,1026,5546,yes
2012-05-11,1319,5711,yes
2012-05-12,2622,4807,no
2012-05-13,2172,3946,no
2012-05-14,342,2501,yes
2012-05-15,625,4490,yes
2012-05-16,991,6433,yes
2012-05-17,1242,6142,yes
2012-05-18,1521,6118,yes
2012-05-19,3410,4884,no
2012-05-20,2704,4425,no
2012-05-21,630,3729,yes
2012-05-22,819,5254,yes
2012-05-23,766,4494,yes
2012-05-24,1059,5711,yes
2012-05-25,1417,5317,yes
2012-05-26,2855,3681,no
2012-05-27,3283,3308,no
2012-05-28,2557,3486,no
2012-05-29,880,4863,yes
2012-05-30,745,6110,yes
2012-05-31,1100,6238,yes
2012-06-01,533,3594,yes
2012-06-02,2795,5325,no
2012-06-03,2494,5147,no
2012-06-04,1071,5927,yes
2012-06-05,968,6033,yes
2012-06-06,1027,6028,yes
2012-06-07,1038,6456,yes
2012-06-08,1488,6248,yes
2012-06-09,2708,4790,no
2012-06-10,2224,4374,no
2012-06-11,1017,5647,yes
2012-06-12,477,4495,yes
2012-06-13,1173,6248,yes
2012-06-14,1180,6183,yes
2012-06-15,1563,6102,yes
2012-06-16,2963,4739,no
2012-06-17,2634,4344,no
2012-06-18,653,4446,yes
2012-06-19,968,5857,yes
2012-06-20,872,5339,yes
2012-06-21,778,5127,yes
2012-06-22,964,4859,yes
2012-06-23,2657,4801,no
2012-06-24,2551,4340,no
2012-06-25,1139,5640,yes
2012-06-26,1077,6365,yes
2012-06-27,1077,6258,yes
2012-06-28,921,5958,yes
2012-06-29,829,4634,yes
2012-06-30,1455,4232,no
2012-07-01,1421,4110,no
2012-07-02,904,5323,yes
2012-07-03,1052,5608,yes
2012-07-04,2562,4841,no
2012-07-05,1405,4836,yes
2012-07-06,1366,4841,yes
2012-07-07,1448,3392,no
2012-07-08,1203,3469,no
2012-07-09,998,5571,yes
2012-07-10,954,5336,yes
2012-07-11,975,6289,yes
2012-07-12,1032,6414,yes
2012-07-13,1511,5988,yes
2012-07-14,2355,4614,no
2012-07-15,1920,4111,no
2012-07-16,1088,5742,yes
2012-07-17,921,5865,yes
2012-07-18,799,4914,yes
2012-07-19,888,5703,yes
2012-07-20,747,5123,yes
2012-07-21,1264,3195,no
2012-07-22,2544,4866,no
2012-07-23,1135,5831,yes
2012-07-24,1140,6452,yes
2012-07-25,1383,6790,yes
2012-07-26,1036,5825,yes
2012-07-27,1259,5645,yes
2012-07-28,2234,4451,no
2012-07-29,2153,4444,no
2012-07-30,1040,6065,yes
2012-07-31,968,6248,yes
2012-08-01,1074,6506,yes
2012-08-02,983,6278,yes
2012-08-03,1328,5847,yes
2012-08-04,2345,4479,no
2012-08-05,1707,3757,no
2012-08-06,1233,5780,yes
2012-08-07,1278,5995,yes
2012-08-08,1263,6271,yes
2012-08-09,1196,6090,yes
2012-08-10,1065,4721,yes
2012-08-11,2247,4052,no
2012-08-12,2182,4362,no
2012-08-13,1207,5676,yes
2012-08-14,1128,5656,yes
2012-08-15,1198,6149,yes
2012-08-16,1338,6267,yes
2012-08-17,1483,5665,yes
2012-08-18,2827,5038,no
2012-08-19,1208,3341,no
2012-08-20,1026,5504,yes
2012-08-21,1081,5925,yes
2012-08-22,1094,6281,yes
2012-08-23,1363,6402,yes
2012-08-24,1325,6257,yes
2012-08-25,1829,4224,no
2012-08-26,1483,3772,no
2012-08-27,989,5928,yes
2012-08-28,935,6105,yes
2012-08-29,1177,6520,yes
2012-08-30,1172,6541,yes
2012-08-31,1433,5917,yes
2012-09-01,2352,3788,no
2012-09-02,2613,3197,no
2012-09-03,1965,4069,no
2012-09-04,867,5997,yes
2012-09-05,832,6280,yes
2012-09-06,611,5592,yes
2012-09-07,1045,6459,yes
2012-09-08,1557,4419,no
2012-09-09,2570,5657,no
2012-09-10,1118,6407,yes
2012-09-11,1070,6697,yes
2012-09-12,1050,6820,yes
2012-09-13,1054,6750,yes
2012-09-14,1379,6630,yes
2012-09-15,3160,5554,no
2012-09-16,2166,5167,no
2012-09-17,1022,5847,yes
2012-09-18,371,3702,yes
2012-09-19,788,6803,yes
2012-09-20,939,6781,yes
2012-09-21,1250,6917,yes
2012-09-22,2512,5883,no
2012-09-23,2454,5453,no
2012-09-24,1001,6435,yes
2012-09-25,845,6693,yes
2012-09-26,787,6946,yes
2012-09-27,751,6642,yes
2012-09-28,1045,6370,yes
2012-09-29,2589,5966,no
2012-09-30,2015,4874,no
2012-10-01,763,6015,yes
2012-10-02,315,4324,yes
2012-10-03,728,6844,yes
2012-10-04,891,6437,yes
2012-10-05,1516,6640,yes
2012-10-06,3031,4934,no
2012-10-07,781,2729,no
2012-10-08,874,4604,no
2012-10-09,601,5791,yes
2012-10-10,780,6911,yes
2012-10-11,834,6736,yes
2012-10-12,1060,6222,yes
2012-10-13,2252,4857,no
2012-10-14,2080,4559,no
2012-10-15,760,5115,yes
2012-10-16,922,6612,yes
2012-10-17,979,6482,yes
2012-10-18,1008,6501,yes
2012-10-19,753,4671,yes
2012-10-20,2806,5284,no
2012-10-21,2132,4692,no
2012-10-22,830,6228,yes
2012-10-23,841,6625,yes
2012-10-24,795,6898,yes
2012-10-25,875,6484,yes
2012-10-26,1182,6262,yes
2012-10-27,2643,5209,no
2012-10-28,998,3461,no
2012-10-29,2,20,yes
2012-10-30,87,1009,yes
2012-10-31,419,5147,yes
2012-11-01,466,5520,yes
2012-11-02,618,5229,yes
2012-11-03,1029,4109,no
2012-11-04,1201,3906,no
2012-11-05,378,4881,yes
2012-11-06,466,5220,yes
2012-11-07,326,4709,yes
2012-11-08,340,4975,yes
2012-11-09,709,5283,yes
2012-11-10,2090,4446,no
2012-11-11,2290,4562,no
2012-11-12,1097,5172,no
2012-11-13,327,3767,yes
2012-11-14,373,5122,yes
2012-11-15,320,5125,yes
2012-11-16,484,5214,yes
2012-11-17,1313,4316,no
2012-11-18,922,3747,no
2012-11-19,449,5050,yes
2012-11-20,534,5100,yes
2012-11-21,615,4531,yes
2012-11-22,955,1470,no
2012-11-23,1603,2307,yes
2012-11-24,532,1745,no
2012-11-25,309,2115,no
2012-11-26,337,4750,yes
2012-11-27,123,3836,yes
2012-11-28,198,5062,yes
2012-11-29,243,5080,yes
2012-11-30,362,5306,yes
2012-12-01,951,4240,no
2012-12-02,892,3757,no
2012-12-03,555,5679,yes
2012-12-04,551,6055,yes
2012-12-05,331,5398,yes
2012-12-06,340,5035,yes
2012-12-07,349,4659,yes
2012-12-08,1153,4429,no
2012-12-09,441,2787,no
2012-12-10,329,4841,yes
2012-12-11,282,5219,yes
2012-12-12,310,5009,yes
2012-12-13,425,5107,yes
2012-12-14,429,5182,yes
2012-12-15,767,4280,no
2012-12-16,538,3248,no
2012-12-17,212,4373,yes
2012-12-18,433,5124,yes
2012-12-19,333,4934,yes
2012-12-20,314,3814,yes
2012-12-21,221,3402,yes
2012-12-22,205,1544,no
2012-12-23,408,1379,no
2012-12-24,174,746,yes
2012-12-25,440,573,no
2012-12-26,9,432,yes
2012-12-27,247,1867,yes
2012-12-28,644,2451,yes
2012-12-29,159,1182,no
2012-12-30,364,1432,no
2012-12-31,439,2290,yes
